datazone,local_authority
S01000060,Aberdeen City
S01000209,Aberdeen City
S01000196,Aberdeen City
S01000179,Aberdeen City
S01000198,Aberdeen City
S01000208,Aberdeen City
S01000210,Aberdeen City
S01000203,Aberdeen City
S01000074,Aberdeen City
S01000217,Aberdeen City
S01000199,Aberdeen City
S01000052,Aberdeen City
S01000157,Aberdeen City
S01000057,Aberdeen City
S01000189,Aberdeen City
S01000219,Aberdeen City
S01000207,Aberdeen City
S01000195,Aberdeen City
S01000194,Aberdeen City
S01000142,Aberdeen City
S01000148,Aberdeen City
S01000185,Aberdeen City
S01000211,Aberdeen City
S01000181,Aberdeen City
S01000082,Aberdeen City
S01000071,Aberdeen City
S01000135,Aberdeen City
S01000084,Aberdeen City
S01000055,Aberdeen City
S01000165,Aberdeen City
S01000145,Aberdeen City
S01000134,Aberdeen City
S01000026,Aberdeen City
S01000069,Aberdeen City
S01000193,Aberdeen City
S01000136,Aberdeen City
S01000044,Aberdeen City
S01000168,Aberdeen City
S01000204,Aberdeen City
S01000192,Aberdeen City
S01000033,Aberdeen City
S01000126,Aberdeen City
S01000163,Aberdeen City
S01000213,Aberdeen City
S01000036,Aberdeen City
S01000190,Aberdeen City
S01000151,Aberdeen City
S01000221,Aberdeen City
S01000098,Aberdeen City
S01000102,Aberdeen City
S01000096,Aberdeen City
S01000078,Aberdeen City
S01000122,Aberdeen City
S01000146,Aberdeen City
S01000197,Aberdeen City
S01000155,Aberdeen City
S01000182,Aberdeen City
S01000066,Aberdeen City
S01000187,Aberdeen City
S01000212,Aberdeen City
S01000200,Aberdeen City
S01000028,Aberdeen City
S01000180,Aberdeen City
S01000070,Aberdeen City
S01000133,Aberdeen City
S01000173,Aberdeen City
S01000183,Aberdeen City
S01000108,Aberdeen City
S01000114,Aberdeen City
S01000201,Aberdeen City
S01000119,Aberdeen City
S01000158,Aberdeen City
S01000156,Aberdeen City
S01000037,Aberdeen City
S01000178,Aberdeen City
S01000042,Aberdeen City
S01000115,Aberdeen City
S01000030,Aberdeen City
S01000125,Aberdeen City
S01000039,Aberdeen City
S01000140,Aberdeen City
S01000229,Aberdeen City
S01000032,Aberdeen City
S01000167,Aberdeen City
S01000139,Aberdeen City
S01000100,Aberdeen City
S01000188,Aberdeen City
S01000150,Aberdeen City
S01000154,Aberdeen City
S01000218,Aberdeen City
S01000040,Aberdeen City
S01000153,Aberdeen City
S01000112,Aberdeen City
S01000206,Aberdeen City
S01000035,Aberdeen City
S01000232,Aberdeen City
S01000175,Aberdeen City
S01000107,Aberdeen City
S01000162,Aberdeen City
S01000160,Aberdeen City
S01000205,Aberdeen City
S01000109,Aberdeen City
S01000147,Aberdeen City
S01000118,Aberdeen City
S01000130,Aberdeen City
S01000038,Aberdeen City
S01000149,Aberdeen City
S01000224,Aberdeen City
S01000169,Aberdeen City
S01000233,Aberdeen City
S01000202,Aberdeen City
S01000047,Aberdeen City
S01000263,Aberdeen City
S01000214,Aberdeen City
S01000222,Aberdeen City
S01000072,Aberdeen City
S01000043,Aberdeen City
S01000265,Aberdeen City
S01000164,Aberdeen City
S01000244,Aberdeen City
S01000264,Aberdeen City
S01000186,Aberdeen City
S01000267,Aberdeen City
S01000137,Aberdeen City
S01000121,Aberdeen City
S01000228,Aberdeen City
S01000041,Aberdeen City
S01000266,Aberdeen City
S01000021,Aberdeen City
S01000020,Aberdeen City
S01000230,Aberdeen City
S01000085,Aberdeen City
S01000110,Aberdeen City
S01000152,Aberdeen City
S01000064,Aberdeen City
S01000093,Aberdeen City
S01000091,Aberdeen City
S01000065,Aberdeen City
S01000215,Aberdeen City
S01000138,Aberdeen City
S01000008,Aberdeen City
S01000013,Aberdeen City
S01000001,Aberdeen City
S01000017,Aberdeen City
S01000006,Aberdeen City
S01000225,Aberdeen City
S01000124,Aberdeen City
S01000256,Aberdeen City
S01000223,Aberdeen City
S01000144,Aberdeen City
S01000018,Aberdeen City
S01000128,Aberdeen City
S01000172,Aberdeen City
S01000053,Aberdeen City
S01000245,Aberdeen City
S01000191,Aberdeen City
S01000216,Aberdeen City
S01000009,Aberdeen City
S01000132,Aberdeen City
S01000184,Aberdeen City
S01000014,Aberdeen City
S01000236,Aberdeen City
S01000257,Aberdeen City
S01000094,Aberdeen City
S01000240,Aberdeen City
S01000220,Aberdeen City
S01000012,Aberdeen City
S01000075,Aberdeen City
S01000080,Aberdeen City
S01000141,Aberdeen City
S01000024,Aberdeen City
S01000117,Aberdeen City
S01000056,Aberdeen City
S01000129,Aberdeen City
S01000249,Aberdeen City
S01000237,Aberdeen City
S01000171,Aberdeen City
S01000123,Aberdeen City
S01000166,Aberdeen City
S01000092,Aberdeen City
S01000050,Aberdeen City
S01000120,Aberdeen City
S01000262,Aberdeen City
S01000105,Aberdeen City
S01000250,Aberdeen City
S01000170,Aberdeen City
S01000242,Aberdeen City
S01000176,Aberdeen City
S01000005,Aberdeen City
S01000067,Aberdeen City
S01000255,Aberdeen City
S01000019,Aberdeen City
S01000254,Aberdeen City
S01000068,Aberdeen City
S01000260,Aberdeen City
S01000177,Aberdeen City
S01000027,Aberdeen City
S01000101,Aberdeen City
S01000088,Aberdeen City
S01000023,Aberdeen City
S01000011,Aberdeen City
S01000086,Aberdeen City
S01000246,Aberdeen City
S01000261,Aberdeen City
S01000025,Aberdeen City
S01000239,Aberdeen City
S01000029,Aberdeen City
S01000259,Aberdeen City
S01000049,Aberdeen City
S01000004,Aberdeen City
S01000054,Aberdeen City
S01000252,Aberdeen City
S01000045,Aberdeen City
S01000226,Aberdeen City
S01000010,Aberdeen City
S01000077,Aberdeen City
S01000131,Aberdeen City
S01000234,Aberdeen City
S01000059,Aberdeen City
S01000116,Aberdeen City
S01000046,Aberdeen City
S01000016,Aberdeen City
S01000022,Aberdeen City
S01000007,Aberdeen City
S01000031,Aberdeen City
S01000227,Aberdeen City
S01000062,Aberdeen City
S01000058,Aberdeen City
S01000076,Aberdeen City
S01000159,Aberdeen City
S01000079,Aberdeen City
S01000103,Aberdeen City
S01000015,Aberdeen City
S01000002,Aberdeen City
S01000089,Aberdeen City
S01000034,Aberdeen City
S01000248,Aberdeen City
S01000048,Aberdeen City
S01000003,Aberdeen City
S01000111,Aberdeen City
S01000061,Aberdeen City
S01000051,Aberdeen City
S01000090,Aberdeen City
S01000235,Aberdeen City
